Entity,Code,Year,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
Afghanistan,AFG,2021,191.8011189732795,141.3542376454552,47.33453691439792,5.746081720030607
Afghanistan,AFG,2022,186.6689494361705,138.663543279917,44.82619552773991,5.77946638468968
Afghanistan,AFG,2023,183.9413870541869,134.99375306870488,45.73766239317673,5.8106248922515045
Albania,ALB,2021,42.299772755674304,19.163115680372144,21.78608861129629,1.8061649785696388
Albania,ALB,2022,41.018787963433525,18.846584518538027,20.81066376804032,1.8055482075424607
Albania,ALB,2023,40.48112424828898,18.28075416622444,20.837392786000887,1.8038835186186992
Algeria,DZA,2021,44.36252396309364,0.2676574003755674,42.5478142290423,2.076489100658935
Algeria,DZA,2022,44.53909370257646,0.2181295663495411,42.80303697282776,2.0588610250304225
Algeria,DZA,2023,43.68351172616028,0.1917665033763003,41.97623322800336,2.052063536260609
American Samoa,ASM,2021,60.795990839241405,21.568465661702135,39.2264299015515,0.001391235808752
American Samoa,ASM,2022,59.261059419992336,20.97668624161865,38.28327930700606,0.0013838881654813
American Samoa,ASM,2023,58.93948536624944,20.31779721842964,38.62055627532837,0.0014346329923629
Andean Latin America,,2021,34.601461429526005,11.971974483263985,22.00957325583526,0.8178948132186254
Andean Latin America,,2022,33.50749881289078,11.240373422279507,21.65237141960396,0.8049204580075519
Andean Latin America,,2023,32.77592701400283,10.689057808465996,21.471817194761293,0.8024045393417911
Andorra,AND,2021,16.652145832769765,0.1716879577687505,14.19962499022684,2.70108734734408
Andorra,AND,2022,15.606827403240606,0.1711236193285143,13.117336852787629,2.7101574305986253
Andorra,AND,2023,15.569478463523978,0.1656641621247401,13.088531020331327,2.7089442774263026
Angola,AGO,2021,100.23948013351288,67.09831767067816,29.79255388595292,5.216857562969127
Angola,AGO,2022,97.1245293079634,64.41206603232405,29.40473321343269,5.111732246429416
Angola,AGO,2023,95.21990919773064,62.19905798803511,29.75929262341452,5.029588393624833
Antigua and Barbuda,ATG,2021,33.58601961889342,1.569812734860938,32.01027160612505,0.0074422662203318
Antigua and Barbuda,ATG,2022,32.52075794643337,1.5260401558691143,30.986836824855217,0.0098579651816618
Antigua and Barbuda,ATG,2023,32.35337087889398,1.4355939832240077,30.907780657688285,0.0125189733208993
Argentina,ARG,2021,33.08692384629538,2.576968029038218,29.159094224989484,1.6357716291501816
Argentina,ARG,2022,31.83807342552108,2.411680608248497,28.007620581677,1.7018920040527643
Argentina,ARG,2023,31.057882843033887,2.260202746274312,27.33805390124635,1.7458899636831495
Armenia,ARM,2021,67.15583171909857,12.685907923593671,51.61498629982707,3.930754718329424
Armenia,ARM,2022,64.86230501424498,12.45752053110076,49.57826401480464,3.8507076774753264
Armenia,ARM,2023,64.81278002952513,11.904036639135583,50.07469349435266,3.860213645590925
Australasia,,2021,10.987306785045744,0.097830746888968,10.448898194358447,0.5012671977659618
Australasia,,2022,10.291204862952052,0.0925697886109901,9.71558208292718,0.5439211667452865
Australasia,,2023,10.45977466718163,0.0910358202836033,9.82945125586054,0.6064799946300939
Australia,AUS,2021,11.27679379229225,0.0886376026624607,10.702071746128466,0.5544068421538402
Australia,AUS,2022,10.586439853479725,0.0844017093964245,9.974549114246544,0.5955779226731147
Australia,AUS,2023,10.795951827407098,0.0833627749360886,10.128110587358444,0.6592419425245565
Austria,AUT,2021,18.85776731859494,0.2876706086838826,16.74104005550154,2.206374188061628
Austria,AUT,2022,17.812976640233504,0.2799901936324511,15.722648835617465,2.1663995920095176
Austria,AUT,2023,17.58634934991682,0.2665825847262322,15.519288005198009,2.150996387094409
Azerbaijan,AZE,2021,83.30039503349123,21.59639964424022,59.24061630559141,3.1991503406203483
Azerbaijan,AZE,2022,80.7165557943871,20.99750770727332,57.234529278771134,3.199091720093325
Azerbaijan,AZE,2023,80.19455281619848,20.751419791511253,56.922786598158986,3.2401274857241686
Bahamas,BHS,2021,33.59640013854071,2.088066178995843,30.823050888561312,0.8569370962520175
Bahamas,BHS,2022,32.50757343550969,2.0937383182911407,29.72467606686777,0.8552715095203776
Bahamas,BHS,2023,32.16057827516131,2.020472156631146,29.447533766028133,0.8569695112725271
Bahrain,BHR,2021,65.48333614556586,0.3375089570016695,62.92676078330542,3.3304676436678253
Bahrain,BHR,2022,63.66939420221147,0.3144262450609797,61.14446483608205,3.297326387169981
Bahrain,BHR,2023,62.900449377330354,0.2803315894472375,60.42661075150302,3.28021338023501
Bangladesh,BGD,2021,113.29674354072166,65.062948348071,43.27029063806848,8.559829606025437
Bangladesh,BGD,2022,109.40404314209871,63.76166042915929,40.63233232106592,8.49812806991392
Bangladesh,BGD,2023,108.52547816698328,61.98537817409311,41.4853792514822,8.542990754464597
Barbados,BRB,2021,35.92143363341093,0.0447279211255597,35.780200020136014,0.1243878823755892
Barbados,BRB,2022,35.18312348566336,0.0435122973642051,35.037066794800054,0.131438166970464
Barbados,BRB,2023,35.068161413531136,0.0426797488743933,34.91535429232297,0.1407418113494419
Belarus,BLR,2021,52.68628081874558,0.7717062226156818,51.15296711032464,0.9595683085738772
Belarus,BLR,2022,50.78554254856133,0.7397554624711596,49.26701121261416,0.9736386069913346
Belarus,BLR,2023,50.7119499458568,0.692619198082603,49.212113097692765,1.008863457682479
Belgium,BEL,2021,20.47646878669515,0.1144470809674939,18.359439585117325,2.41621034599238
Belgium,BEL,2022,19.272908553596015,0.1090586491993204,17.199824343490864,2.355315930643167
Belgium,BEL,2023,19.127512733372576,0.1044232219779941,17.060459664309363,2.35459046429421
Belize,BLZ,2021,45.929066293267546,12.918677194248517,31.901607038349194,1.4630033386354635
Belize,BLZ,2022,44.5258787637848,12.722319091943351,30.69540695901737,1.4469601614971388
Belize,BLZ,2023,44.21203868186201,12.176981522935904,30.91941883003718,1.4557052961638424
Benin,BEN,2021,119.28558873159646,94.75821375691682,23.03935750400408,2.6643601733484803
Benin,BEN,2022,115.80534192333548,92.05337923461134,22.23829353481993,2.6871360171456637
Benin,BEN,2023,113.15957555347748,89.36395534133676,22.26813855910813,2.7001121758885867
Bermuda,BMU,2021,18.48737080464504,1.51203094836819,16.002337481097943,1.1677556833124665
Bermuda,BMU,2022,17.80109469632257,1.5183148209622674,15.32762119206454,1.1384246280212744
Bermuda,BMU,2023,17.643625701259747,1.4491334215541232,15.246630074600304,1.1293402927135974
Bhutan,BTN,2021,77.36572209851677,28.25155320724675,41.20092854029205,11.5458002401964
Bhutan,BTN,2022,74.5466533290088,26.79193996590172,39.83484547314278,11.414277853497516
Bhutan,BTN,2023,73.10805518693807,24.59026120567136,40.635927378967565,11.329633270645578
Bolivia,BOL,2021,56.75662296108143,22.5470651333525,32.38749619005728,2.4230903918304745
Bolivia,BOL,2022,54.62555759363193,21.134597911346475,31.67899345440473,2.384647188590806
Bolivia,BOL,2023,53.87507203792895,19.63842883877619,32.43273564700695,2.3667939082067644
Bosnia and Herzegovina,BIH,2021,60.87582209041505,23.272163929368133,35.69666183900205,2.65648173751206
Bosnia and Herzegovina,BIH,2022,58.97572422446513,22.978377970566783,34.09491768392757,2.6291116165290416
Bosnia and Herzegovina,BIH,2023,58.07743401399994,22.081644439789088,34.10666537187964,2.608378299587773
Botswana,BWA,2021,75.07226868898151,39.26153590301983,32.79318632657139,4.222148587461315
Botswana,BWA,2022,72.00154318039542,37.10624385506925,31.929878179135585,4.123876260081127
Botswana,BWA,2023,69.80400607591162,35.52118004345444,31.333245474287917,4.077350274925684
Brazil,BRA,2021,31.51608976332567,6.3600422259301626,23.4451488834162,2.076375657898344
Brazil,BRA,2022,30.349578155443645,5.976036709284771,22.62249598393088,2.10440935622886
Brazil,BRA,2023,30.32107718446788,5.583721423596631,22.94566354686888,2.1507417186207958
Brunei,BRN,2021,23.749659841782574,0.2052031058838924,22.53490583832786,1.1131591567938883
Brunei,BRN,2022,20.47862532800329,0.1741959527147739,19.268640666329805,1.1275181229386748
Brunei,BRN,2023,20.300877110426185,0.1608646401642648,19.093335917107435,1.1398263983935186
Bulgaria,BGR,2021,53.667068442388114,10.843731983384044,40.97743569868924,2.3850422194862464
Bulgaria,BGR,2022,51.77971020509638,10.756626987499471,39.202049093478,2.334137300223517
Bulgaria,BGR,2023,51.39213644722451,10.24999951460994,39.32109162274384,2.329743217615765
Burkina Faso,BFA,2021,137.96110169969214,114.63481909093863,22.518751985560368,1.5543245153189469
Burkina Faso,BFA,2022,136.00104935851678,114.46804600863626,20.709327398068897,1.57433739425479
Burkina Faso,BFA,2023,133.18266376444095,111.07320759193333,21.27612462996677,1.584887915941227
Burundi,BDI,2021,146.90643026980257,122.83780516671814,21.995682710311016,3.893434793230437
Burundi,BDI,2022,144.35628994473123,120.37432981906257,21.910850572653096,3.8855572981368502
Burundi,BDI,2023,142.77420767474803,118.56654038904098,22.12083842214165,3.89970555438659
Cambodia,KHM,2021,111.89318446706794,88.36757903942812,22.178301044379168,2.2181751594099963
Cambodia,KHM,2022,109.4873363899311,86.66277270720273,21.42843869628257,2.2766909717879265
Cambodia,KHM,2023,107.97949761148656,84.71483472871255,21.832418227129764,2.327675126529593
Cameroon,CMR,2021,122.5088857488306,64.73491888405638,55.9915413222813,3.029255659999224
Cameroon,CMR,2022,118.32719509326355,61.30081097807791,55.23179031346045,3.016882263952333
Cameroon,CMR,2023,113.96151454529944,57.1783606417368,54.99003408483398,2.9863480636985376
Canada,CAN,2021,12.217926497625728,0.0270577928342447,10.609096875802283,1.763894813764779
Canada,CAN,2022,11.002674780961692,0.0251285889333163,9.397502530791416,1.740833692692777
Canada,CAN,2023,10.716618413539726,0.024770498196004,9.110733440276666,1.739718060535529
Cape Verde,CPV,2021,53.05591785244469,26.167935065981684,26.23478335709089,0.9703565342537104
Cape Verde,CPV,2022,51.26560132110704,26.064246169898773,24.517260051137136,0.9968349036240408
Cape Verde,CPV,2023,50.817777556463234,24.631581947891902,25.4964979046444,1.0044631269412192
Caribbean,,2021,47.94433864899432,19.442227911588187,27.387687961485103,1.4510468286737983
Caribbean,,2022,47.00157507932333,19.07371672889995,26.803649532669176,1.4541743561481282
Caribbean,,2023,46.42572749368469,18.59251431042042,26.709964175951637,1.450336742020953
Central African Republic,CAF,2021,205.8482841741763,157.8087045828378,44.88587584711468,5.975791228422654
Central African Republic,CAF,2022,202.4576739525978,155.43596908556336,43.86459283833181,5.955939307748739
Central African Republic,CAF,2023,199.65099723487427,153.3414567823678,43.15760017143447,5.941588543565429
Central Asia,,2021,82.39223572108011,23.5257727777591,56.50787693524131,3.103233748910122
Central Asia,,2022,79.42307460992046,23.02996950474556,54.03290690617506,3.0712040926389523
Central Asia,,2023,79.03843943847875,21.907085452573025,54.774925886626136,3.072040151554588
Central Europe,,2021,42.34817192071471,8.02551407415541,32.59710204638459,2.216932222150304
Central Europe,,2022,40.0509999585582,7.767619245717885,30.599544725557735,2.144537101292782
Central Europe,,2023,39.28609609708024,7.396395103845562,30.23324072856961,2.1081281872513453
"Central Europe, Eastern Europe, and Central Asia",,2021,52.84763617224818,6.527661581640683,44.830886890063525,1.8849385713747355
"Central Europe, Eastern Europe, and Central Asia",,2022,50.30429714917047,6.34753701289747,42.49186224090748,1.8403229854071603
"Central Europe, Eastern Europe, and Central Asia",,2023,49.127517457230574,6.040145457988983,41.63921323522904,1.818695116218178
Central Latin America,,2021,39.31786984866817,10.969508126686526,26.191223713338875,2.795390924286955
Central Latin America,,2022,38.41413713169229,10.768997473552917,25.472527777977827,2.793033420706124
Central Latin America,,2023,38.07513908949221,10.288776675926815,25.618435392462747,2.785763562490593
Central Sub-Saharan Africa,,2021,137.3240254886962,103.27322236021736,30.771906699706594,5.857978548344953
Central Sub-Saharan Africa,,2022,134.01586880636538,99.61844447704416,31.0838862468236,5.880378435102252
Central Sub-Saharan Africa,,2023,131.59878681392715,97.10208606770937,31.15296329076534,5.910979116809649
Chad,TCD,2021,163.48694801062942,129.48734378881718,32.237655246451034,3.5180540029679723
Chad,TCD,2022,161.38245257620414,128.87886828564916,30.70370527124237,3.5673960253989985
Chad,TCD,2023,159.14741095199247,126.19193205683548,31.13891316521896,3.5914307442692497
Chile,CHL,2021,24.84461527443071,3.015242293794259,20.96583497343749,1.1134862957532072
Chile,CHL,2022,24.02172262772059,3.0171241719193125,20.10518108731192,1.148452781696218
Chile,CHL,2023,24.29921297777114,2.937137106443011,20.412135195915624,1.2139817588187567
China,CHN,2021,78.25140892499367,18.120062657048432,52.65894615543432,11.316569963060136
China,CHN,2022,74.70570934957617,17.765584361779148,49.44868337698298,11.14419970552404
China,CHN,2023,72.67678885845345,15.803640803011788,49.36714161016279,11.12328257255152
Colombia,COL,2021,23.238309577371385,5.179411361083676,17.091480018875185,1.2115166457867328
Colombia,COL,2022,22.415220772082822,4.798744203707593,16.63831581682576,1.2169289067122273
Colombia,COL,2023,22.0962392218409,4.401575149943022,16.699475406298223,1.2354045133966731
Comoros,COM,2021,97.48803149016648,81.01889748713413,15.937790126218914,0.8547761002549542
Comoros,COM,2022,95.4583992868599,78.9703225527392,15.957315325850752,0.8477318417811377
Comoros,COM,2023,93.98944768869382,77.29998015329122,16.158609453462063,0.8435481370153114
Congo,COG,2021,118.0017834474822,66.2707358919882,49.24761134933027,3.881511195321453
Congo,COG,2022,114.19805232623862,62.05608329015196,49.71577043706647,3.7733620153529936
Congo,COG,2023,113.00518030689967,59.20779607203235,51.3553045554795,3.7822229071709943
Costa Rica,CRI,2021,20.619265411101,3.741214849782966,16.08741076707351,0.9920295997761605
Costa Rica,CRI,2022,21.09057695789467,3.804433489272751,16.417722955632456,1.079662193525807
Costa Rica,CRI,2023,21.21308224391965,3.6401533540643727,16.666095425775104,1.1269900586622588
Cote d'Ivoire,CIV,2021,127.60537718702524,103.6539523090064,23.19892400261362,1.2563702423150471
Cote d'Ivoire,CIV,2022,123.02454755770036,99.91100085382836,22.355167316530743,1.256311887828025
Cote d'Ivoire,CIV,2023,118.8365593679245,96.25337526474658,21.82017137577354,1.2568754782829
Croatia,HRV,2021,37.53962033602016,5.325944323417652,29.94664164389749,2.879622275451274
Croatia,HRV,2022,34.23502573085698,4.964761333721521,27.127956436924293,2.696853788786969
Croatia,HRV,2023,33.552074585083204,4.654715054769408,26.803493217711654,2.6369353023718074
Cuba,CUB,2021,33.88404053460197,1.934678211598677,30.76479603089065,1.4914265618658995
Cuba,CUB,2022,32.94971454020374,1.8292168476906925,29.96734445066028,1.4445710738417383
Cuba,CUB,2023,32.46048101808931,1.7220087689204295,29.610628742192272,1.4096372200043907
Cyprus,CYP,2021,27.608607695444384,0.200410228820727,25.01751325258554,2.999339230602119
Cyprus,CYP,2022,25.96171468056219,0.2049058999270771,23.36870549082525,2.954873381256553
Cyprus,CYP,2023,25.95910461328527,0.1901993651130686,23.39594606492024,2.943205787235545
Czech Republic,CZE,2021,32.41577614263114,1.0279276016565455,29.577596730308297,2.24769713851017
Czech Republic,CZE,2022,30.791526739212102,1.02115785177137,27.980942326050425,2.2019520861458943
Czech Republic,CZE,2023,30.15992328169316,0.9588610421030938,27.47477475508482,2.123831686842625
Democratic Republic of Congo,COD,2021,148.4421017274969,117.2770255492409,27.720476323840096,6.4009153526569245
Democratic Republic of Congo,COD,2022,145.19971156704574,113.39155855036532,28.29788198078124,6.475968587274874
Democratic Republic of Congo,COD,2023,142.68032992575937,110.90576831144364,28.207917435390648,6.548576346651862
Denmark,DNK,2021,19.891194178420136,0.1102202823469835,17.381600857521246,2.819238274169601
Denmark,DNK,2022,19.31916137636146,0.1095412380381171,16.78729836223031,2.8284532428514377
Denmark,DNK,2023,19.324887260097903,0.1036955248849978,16.775030036155087,2.8546661158342603
Djibouti,DJI,2021,83.49410648928294,35.26479575926464,46.81545009925676,2.085631423105995
Djibouti,DJI,2022,82.4769523955055,33.953360296274674,47.03830554619208,2.1847122440730344
Djibouti,DJI,2023,80.69632489595126,32.24147875520848,46.90101672940823,2.274099614123912
Dominica,DMA,2021,38.88421399204624,7.372724434383253,31.511475431234192,1.82812190455e-05
Dominica,DMA,2022,38.23456970186678,7.083231774969903,31.15131928928161,2.44441869361e-05
Dominica,DMA,2023,37.6752584195648,6.837761310585372,30.837473231334183,3.12914332437e-05
Dominican Republic,DOM,2021,38.94723638367552,12.507712955580743,25.54160079617553,1.1136634399817402
Dominican Republic,DOM,2022,37.686763633898266,12.02749537507732,24.73403077349781,1.1359708769348928
Dominican Republic,DOM,2023,36.97274516490145,11.253908442928724,24.79712075938224,1.129399653348239
East Asia,,2021,78.32763846670636,18.862092037374968,51.95192623843152,11.394538736074333
East Asia,,2022,74.83217256928376,18.51858431251805,48.78088422682391,11.2235651621993
East Asia,,2023,72.824140571331,16.577136319482356,48.702265366605324,11.198602785766
Eastern Europe,,2021,51.76034686014343,1.752001359036277,48.81856375758816,1.4653506553341449
Eastern Europe,,2022,49.22588929992023,1.6345652575339955,46.42203597463075,1.431986082973763
Eastern Europe,,2023,47.54567793618823,1.5050157794777728,44.88414817994821,1.414941988435008
Eastern Sub-Saharan Africa,,2021,109.63781931105744,89.92156035342849,18.52785862961061,2.103344714711429
Eastern Sub-Saharan Africa,,2022,107.1505325447844,87.21901596722924,18.73241901831414,2.108758902300742
Eastern Sub-Saharan Africa,,2023,105.19513510973374,85.13807859478011,18.847992668119357,2.1162967196426505
Ecuador,ECU,2021,28.041828651523147,3.5180012474034985,23.951764445194037,0.7056033197947237
Ecuador,ECU,2022,27.553637367708887,3.3566206381029278,23.622038753349624,0.704972600229583
Ecuador,ECU,2023,27.135242910048543,3.113057544287344,23.44804757309794,0.7036519864723022
Egypt,EGY,2021,115.05149631002712,1.0701722684440078,111.06280638846056,4.480651586401593
Egypt,EGY,2022,114.10889105390818,0.8676117900289524,110.27774587287004,4.551895382340304
Egypt,EGY,2023,113.35551184504844,0.7263842171517877,109.61626649793972,4.614963788972096
El Salvador,SLV,2021,48.85354960907513,17.75887000329317,29.973896337121143,1.523970581959346
El Salvador,SLV,2022,47.00602627460335,17.08333938923321,28.798981062910464,1.513729128001011
El Salvador,SLV,2023,45.898198724122935,16.1433356937648,28.62946891476719,1.5101959873664614
England,,2021,18.279821954538097,0.2116326046720835,16.63328775093114,1.6933271602642683
England,,2022,17.99348693223695,0.2045923996535704,16.335701630373926,1.710410452550843
England,,2023,17.880951040970924,0.1969886069080231,16.228557071228703,1.7120864136030611
Equatorial Guinea,GNQ,2021,80.35685037757214,42.00401618286152,37.551805242189225,1.2826638146680516
Equatorial Guinea,GNQ,2022,79.70653632070733,39.93560516384943,38.94641163240546,1.315420261939003
Equatorial Guinea,GNQ,2023,78.35860984601827,38.69715607730606,38.81393882326178,1.3439689917075064
Eritrea,ERI,2021,141.0294818545139,101.6572079619178,37.19493825928181,3.780360168526972
Eritrea,ERI,2022,136.95354622893572,98.41313911799826,36.36123193800463,3.76199383943058
Eritrea,ERI,2023,132.70047430840424,94.84387618773854,35.670724137818006,3.750114096474584
Estonia,EST,2021,16.53077524854442,4.306394037523906,11.638833254044748,0.6665712052968404
Estonia,EST,2022,15.982268164677272,4.046433005223994,11.36116080602745,0.6508775637210639
Estonia,EST,2023,15.651686870127074,3.9326344453577895,11.149028835911892,0.644178341082145
Ethiopia,ETH,2021,93.57869970805282,76.01804825700313,16.601487327780852,1.7362614069371498
Ethiopia,ETH,2022,90.64138256531292,72.65922548464589,17.00678717527138,1.7490932380539566
Ethiopia,ETH,2023,88.82900506191545,70.59407937480415,17.24255369779341,1.766512964429925
Fiji,FJI,2021,108.36339048789448,63.736489744376925,44.52781647068658,0.1250304335627493
Fiji,FJI,2022,103.64606412633276,60.83021611353772,42.71538537656617,0.1262060757549075
Fiji,FJI,2023,100.59466782714485,57.96317382181933,42.52815292162406,0.1286670062858621
Finland,FIN,2021,8.69069077668554,0.1412205132491361,7.840072315633548,0.7751955900380144
Finland,FIN,2022,8.40169621134432,0.1333225212613959,7.544358232611469,0.7871749766485663
Finland,FIN,2023,8.507491500027184,0.1321508652169309,7.6351616040489265,0.8047940854480415
France,FRA,2021,12.83499259035394,0.0989713650503264,11.763785395004929,1.1645179286248704
France,FRA,2022,11.967906775869777,0.0956748052663459,10.916809436920024,1.135190770636247
France,FRA,2023,11.819222109054913,0.0888968655376302,10.777409938473737,1.1319263924575336
Gabon,GAB,2021,74.1911688253248,13.388055230026374,59.94010644058634,1.212704921324848
Gabon,GAB,2022,72.87385788499913,12.132151036986974,59.865223493410014,1.2297235010746068
Gabon,GAB,2023,72.05364228980268,10.874686331491636,60.288094829123466,1.248200205243109
Gambia,GMB,2021,138.24444538643093,109.58004121263436,27.403100814956897,2.223279862491549
Gambia,GMB,2022,135.8648598816783,109.35083822319238,25.21402205668356,2.2740234711441745
Gambia,GMB,2023,134.39277064537066,106.7540779823176,26.31112610316602,2.3157407905441185
